アリーナ・スクライブ,異形の人形師「エペロギ」
エペロギ,異形の人形師「エペロギ」
アポカリョープス,悪の青魔道士「アポカリョープス」
アリーナ・ミラーナイト,豪腕の父親「フンババ・パパ」
フンババ・パパ,豪腕の父親「フンババ・パパ」
テュポーン,はないき爆破デスマッチ
ドゥリン,至妙の傀儡子「ドゥリン」
火のシキガミ,水と炎の歌
水のシキガミ,水と炎の歌
ジークフリード,世界一の剣士「ジークフリード」
ものまね士ゴゴ,黄金頭巾「ものまね士ゴゴ」
アーセナル・ウロリス,バルデシオンアーセナル
アーセナル・バイキング,バルデシオンアーセナル
アーセナル・マグス,バルデシオンアーセナル
アーセナル・スクライブ,バルデシオンアーセナル
アーセナル・ビブロス,バルデシオンアーセナル
アーセナル・セントール,バルデシオンアーセナル
アーセナル・ビブリオタフ,バルデシオンアーセナル
アーセナル・ポロッゴ,バルデシオンアーセナル
アーセナル・カルコブリーナ,バルデシオンアーセナル
アーセナル・ロゴス,バルデシオンアーセナル
アーセナル・ファン,バルデシオンアーセナル
アーセナル・ ストリックス,バルデシオンアーセナル
アーセナル・トーム,バルデシオンアーセナル
アーセナル・スカネテ,バルデシオンアーセナル
アーセナル・カルコ,バルデシオンアーセナル
アーセナル・ブリーナ,バルデシオンアーセナル
アーセナル・ヴォドリガ,バルデシオンアーセナル
アーセナル・ブックウォール,バルデシオンアーセナル
アーセナル・アイ,バルデシオンアーセナル
アーセナル・スプライト,バルデシオンアーセナル
アーセナル・ゲシュンペスト,バルデシオンアーセナル
アルト,バルデシオンアーセナル
オーウェン,バルデシオンアーセナル
ライディーン,バルデシオンアーセナル
アブソリュートヴァーチュー,バルデシオンアーセナル
プロトオズマ,バルデシオンアーセナル
ピーリフール,腐乱野菜「ピーリフール」
カニスディルス,戦争の妖犬「カニスディルス」
ヴィジル,高火力陸戦魔導兵器「ヴィジル」
アクババ,黒き死鳥「アクババ」
スパルトイ,怨念の死霊「スパルトイ」
レッドコメット,赤チョコボのヌシ「レッドコメット」
火焔百人隊の術士,炎獣使い「火焔百人隊」
ピュロボロス・マーテル,炎獣使い「火焔百人隊」
ピュロボロス・パテル,炎獣使い「火焔百人隊」
ピュロボロス・ソロル,炎獣使い「火焔百人隊」
ピュロボロス・フラーテル,炎獣使い「火焔百人隊」
パトリオット,拠点防衛魔導兵器「パトリオット」
エアレー,邪眼の妖獣「エアレー」
ダーインスレイヴ,鋼鉄の魔獣「ダーインスレイヴ」
魔導レイバーx型,新たなる鉄巨人「魔導レイバーX型」
チルヴニク,戦慄の角「チルヴニク」
NpcId2_1553,木人討滅戦：蒼天編
NpcId2_7394,木人討滅戦：紅蓮編
NpcId2_8065,木人討滅戦：漆黒編
NpcId2_9661,‬デビューマッチ
NpcId2_9662,‬デビューマッチ
NpcId2_9664,‬プリン・アラモード
NpcId2_9665,‬プリン・アラモード
NpcId2_9666,‬プリン・アラモード
NpcId2_9667,‬プリン・アラモード
NpcId2_9668,‬プリン・アラモード
NpcId2_9669,‬プリン・アラモード
NpcId2_9672,怪力の鉄巨人「クレイオス」
NpcId2_9676,ギルガメブラザーズ
NpcId2_9682,怪力の鉄巨人「クレイオス」
NpcId2_9684,最初の岩壁「シパクナー」
NpcId2_9685,怪力の鉄巨人「クレイオス」
NpcId2_10015,豪柔の鉄巨人「クレイオス改」
NpcId2_10016,豪柔の鉄巨人「クレイオス改」
NpcId2_10017,豪柔の鉄巨人「クレイオス改」
NpcId2_10026,名コンビ「オルトロス＆テュポーン」
NpcId2_10027,名コンビ「オルトロス＆テュポーン」
NpcId2_10028,名コンビ「オルトロス＆テュポーン」
NpcId2_10029,名コンビ「オルトロス＆テュポーン」
NpcId2_11510,はないき爆破デスマッチ
NpcId2_11512,はないき爆破デスマッチ
NpcId2_11513,はないき爆破デスマッチ
NpcId2_11367,世界一の剣士「ジークフリード」
NpcId2_11370,世界一の剣士「ジークフリード」
NpcId2_11372,世界一の剣士「ジークフリード」
NpcId2_11373,世界一の剣士「ジークフリード」
NpcId2_11374,世界一の剣士「ジークフリード」
NpcId2_11375,世界一の剣士「ジークフリード」
NpcId2_11703,新型飛行型魔導アーマー「ガブリエル」
NpcId2_11917,百獣使い「獣王ライアン」
NpcId2_11886,老練の魔道士「鉄火のサルトヴォアール」
MapTerritory_149,ウルヴズジェイル演習場：デュエル
MapTerritory_399,木人討滅戦：蒼天編
MapTerritory_612,木人討滅戦：紅蓮編
MapTerritory_814,木人討滅戦：漆黒編
MapIndex_3539,カストルム・ラクスリトレ攻城戦
MapIndex_3540,カストルム・ラクスリトレ攻城戦
clearcode,:40000007:01:00:00:00
LC1_193,「大迷宮バハムート：真成編1」の攻略を開始した。
LC1_194,「大迷宮バハムート：真成編2」の攻略を開始した。
LC1_241,「大迷宮バハムート：邂逅編1」の攻略を開始した。
LC1_355,「大迷宮バハムート：侵攻編1」の攻略を開始した。
LC1_356,「大迷宮バハムート：侵攻編2」の攻略を開始した。
LC1_357,「大迷宮バハムート：侵攻編3」の攻略を開始した。
LC1_380,「大迷宮バハムート零式：侵攻編1」の攻略を開始した。
LC1_381,「大迷宮バハムート零式：侵攻編2」の攻略を開始した。
LC1_382,「大迷宮バハムート零式：侵攻編3」の攻略を開始した。
LC1_442,「機工城アレキサンダー：起動編1」の攻略を開始した。
LC1_443,「機工城アレキサンダー：起動編2」の攻略を開始した。
LC1_444,「機工城アレキサンダー：起動編3」の攻略を開始した。
LC1_449,「機工城アレキサンダー零式：起動編1」の攻略を開始した。
LC1_450,「機工城アレキサンダー零式：起動編2」の攻略を開始した。
LC1_451,「機工城アレキサンダー零式：起動編3」の攻略を開始した。
LC1_520,「機工城アレキサンダー：律動編1」の攻略を開始した。
LC1_522,「機工城アレキサンダー：律動編3」の攻略を開始した。
LC1_529,「機工城アレキサンダー零式：律動編1」の攻略を開始した。
LC1_531,「機工城アレキサンダー零式：律動編3」の攻略を開始した。
LC1_580,「機工城アレキサンダー：天動編1」の攻略を開始した。
LC1_581,「機工城アレキサンダー：天動編2」の攻略を開始した。
LC1_582,「機工城アレキサンダー：天動編3」の攻略を開始した。
LC1_584,「機工城アレキサンダー零式：天動編1」の攻略を開始した。
LC1_585,「機工城アレキサンダー零式：天動編2」の攻略を開始した。
LC1_586,「機工城アレキサンダー零式：天動編3」の攻略を開始した。
LC2_193,00:0839:第I信徒区画の封鎖まであと15秒
LC2_194,00:0839:コア制御区画の封鎖まであと15秒
LC2_241,00:0839:アラグの遺構の封鎖まであと15秒
LC2_355,00:0839:傷跡の門戸の封鎖まであと15秒
LC2_356,00:0839:生体管理区の封鎖まであと15秒
LC2_357,00:0839:中枢艦首区の封鎖まであと15秒
LC2_380,00:0839:傷跡の門戸の封鎖まであと15秒
LC2_381,00:0839:生体管理区の封鎖まであと15秒
LC2_382,00:0839:中枢艦首区の封鎖まであと15秒
LC2_442,00:0839:第8大型格納庫の封鎖まであと15秒
LC2_443,00:0839:第12大型格納庫の封鎖まであと15秒
LC2_444,00:0839:第9大型復水器の封鎖まであと15秒
LC2_449,00:0839:第8大型格納庫の封鎖まであと15秒
LC2_450,00:0839:第12大型格納庫の封鎖まであと15秒
LC2_451,00:0839:第9大型復水器の封鎖まであと15秒
LC2_520,00:0839:超最先端実験室の封鎖まであと15秒
LC2_522,00:0839:公開処刑広場の封鎖まであと15秒
LC2_529,00:0839:超最先端実験室の封鎖まであと15秒
LC2_531,00:0839:公開処刑広場の封鎖まであと15秒
LC2_580,00:0839:再生処理室の封鎖まであと15秒
LC2_581,00:0839:科学的万能処刑場の封鎖まであと15秒
LC2_582,00:0839:中枢大動力室の封鎖まであと15秒
LC2_584,00:0839:再生処理室の封鎖まであと15秒
LC2_585,00:0839:科学的万能処刑場の封鎖まであと15秒
LC2_586,00:0839:中枢大動力室の封鎖まであと15秒
