Limsa Lominsa Upper Docks|リムサ・ロミンサ：上甲板層
Stinging Back|ギルドオーダー『無法者「似我蜂団」を撃滅せよ！』
The Final Coil Of Bahamut - Turn (1)|大迷宮バハムート：真成編1
The Final Coil Of Bahamut - Turn (2)|大迷宮バハムート：真成編2
The Final Coil Of Bahamut - Turn (3)|大迷宮バハムート：真成編3
The Final Coil Of Bahamut - Turn (4)|大迷宮バハムート：真成編4
Command Room|アドミラルブリッジ：提督室
The Bowl Of Embers|イフリート討伐戦
Seat Of The First Bow|神勇隊司令室
Lotus Stand|不語仙の座卓
The Navel|タイタン討伐戦
Thornmarch (Hard)|善王モグル・モグXII世討滅戦
The Howling Eye|ガルーダ討伐戦
Heart Of The Sworn|銀冑団総長室
The Waking Sands|砂の家
Basic Training: Enemy Parties|ギルドオーダー『集団戦訓練をくぐり抜けろ！』
Basic Training: Enemy Strongholds|ギルドオーダー『全関門を突破し、最深部の敵を討て！』
Hero On The Halfshell|ギルドオーダー『ギルガメを捕獲せよ！』
Castrum Meridianum|外郭攻略 カストルム・メリディアヌム
Flicking Sticks And Taking Names|ギルドオーダー『爆弾魔ゴブリン軍団を撃滅せよ！』
All's Well That Ends In The Well|ギルドオーダー『夢幻のブラキシオを討て！』
More Than A Feeler|ギルドオーダー『汚染源モルボルを討て！』
Annoy The Void|ギルドオーダー『坑道に現れた妖異プソを討て！』
Shadow And Claw|ギルドオーダー『無敵の眷属を従えし、大型妖異を討て！』
The Praetorium|最終決戦 魔導城プラエトリウム
The Binding Coil Of Bahamut - Turn (1)|大迷宮バハムート：邂逅編1
The Binding Coil Of Bahamut - Turn (2)|大迷宮バハムート：邂逅編2
The Binding Coil Of Bahamut - Turn (3)|大迷宮バハムート：邂逅編3
The Binding Coil Of Bahamut - Turn (4)|大迷宮バハムート：邂逅編4
The Binding Coil Of Bahamut - Turn (5)|大迷宮バハムート：邂逅編5
Ic-04 Main Bridge|ラグナロク級四番艦：第一艦橋
Ragnarok Main Bridge|第一艦橋
Wolves' Den Pier|ウルヴズジェイル係船場
Hall Of Summoning|次元の狭間：迎賓室
The Whorleater (Hard)|真リヴァイアサン討滅戦
Private Cottage - Mist|ミスト・ヴィレッジ：コテージ
Private House - Mist|ミスト・ヴィレッジ：ハウス
Private Mansion - Mist|ミスト・ヴィレッジ：レジデンス
The Bowl Of Embers (Hard)|真イフリート討滅戦
The Navel (Hard)|真タイタン討滅戦
The Howling Eye (Hard)|真ガルーダ討滅戦
The Bowl Of Embers (Extreme)|極イフリート討滅戦
The Navel (Extreme)|極タイタン討滅戦
The Howling Eye (Extreme)|極ガルーダ討滅戦
Long Live The Queen|ギルドオーダー『ボムを率いる「ボムクイーン」を討て！』
Ward Up|ギルドオーダー『不気味な陣形を組む妖異をせん滅せよ！』
Solemn Trinity|ギルドオーダー『三つ巴の巨人族を制し、遺物を守れ！』
Cape Westwind|リットアティン強襲戦
Eorzean Subterrane|エオルゼア地下空間
Mist|ミスト・ヴィレッジ
Lavender Beds|ラベンダーベッド
The Goblet|ゴブレットビュート
Private Cottage - Lavender Beds|ラベンダーベッド：コテージ
Private House - Lavender Beds|ラベンダーベッド：ハウス
Private Mansion - Lavender Beds|ラベンダーベッド：レジデンス
Private Cottage - The Goblet|ゴブレットビュート：コテージ
Private House - The Goblet|ゴブレットビュート：ハウス
Private Mansion - The Goblet|ゴブレットビュート：レジデンス
The Minstrel's Ballad: Ultima's Bane|究極幻想 アルテマウェポン破壊作戦
Copperbell Mines (Hard)|騒乱坑道 カッパーベル銅山 (Hard)
Haukke Manor (Hard)|妖異屋敷 ハウケタ御用邸 (Hard)
The Rising Stones|石の家
Special Event I|イベント用コンテンツ：1
Special Event II|イベント用コンテンツ：2
The Second Coil Of Bahamut - Turn (1)|大迷宮バハムート：侵攻編1
The Second Coil Of Bahamut - Turn (2)|大迷宮バハムート：侵攻編2
The Second Coil Of Bahamut - Turn (3)|大迷宮バハムート：侵攻編3
The Second Coil Of Bahamut - Turn (4)|大迷宮バハムート：侵攻編4
The Whorleater (Extreme)|極リヴァイアサン討滅戦
Halatali (Hard)|剣闘領域 ハラタリ修練所 (Hard)
Hullbreaker Isle|財宝伝説 ハルブレーカー・アイル
Brayflox's Longstop (Hard)|盟友支援 ブレイフロクスの野営地 (Hard)
The Lost City Of Amdapor|腐敗遺跡 古アムダプール市街
Thornmarch (Extreme)|極王モグル・モグXII世討滅戦
The Stone Vigil (Hard)|城塞奪回 ストーンヴィジル (Hard)
Battle On The Big Bridge|ギルガメッシュ討伐戦
The Sunken Temple Of Qarn (Hard)|遺跡救援 カルン埋没寺院 (Hard)
A Relic Reborn: The Chimera|ドルムキマイラ討伐戦
A Relic Reborn: The Hydra|ハイドラ討伐戦
Main Bridge|ラグナロク級三番艦：第一艦橋
Snowcloak|氷結潜窟 スノークローク大氷壁
Syrcus Tower|クリスタルタワー：シルクスの塔
The Tamtara Deepcroft (Hard)|惨劇霊殿 タムタラの墓所 (Hard)
The Striking Tree (Hard)|真ラムウ討滅戦
The Striking Tree (Extreme)|極ラムウ討滅戦
The Borderland Ruins (Secure)|外縁遺跡群 (制圧戦)
Akh Afah Amphitheatre (Hard)|真シヴァ討滅戦
Akh Afah Amphitheatre (Extreme)|極シヴァ討滅戦
The Second Coil Of Bahamut (Savage) - Turn (1)|大迷宮バハムート零式：侵攻編1
The Second Coil Of Bahamut (Savage) - Turn (2)|大迷宮バハムート零式：侵攻編2
The Second Coil Of Bahamut (Savage) - Turn (3)|大迷宮バハムート零式：侵攻編3
The Second Coil Of Bahamut (Savage) - Turn (4)|大迷宮バハムート零式：侵攻編4
Private Chambers - Mist|ミスト・ヴィレッジ：プライベートルーム
Private Chambers - The Lavender Beds|ラベンダーベッド：プライベートルーム
Private Chambers - The Goblet|ゴブレットビュート：プライベートルーム
Sastasha (Hard)|逆襲要害 サスタシャ浸食洞 (Hard)
Chocobo Square|チョコボスクウェア
Chocobo Race: Costa Del Sol|チョコボレース：コスタ・デル・ソル
Chocobo Race: Sagolii Road|チョコボレース：サゴリーロード
Chocobo Race: Tranquil Paths|チョコボレース：トランキルパス
Sanctum Of The Twelve|十二神大聖堂
Urth's Fount|闘神オーディン討滅戦
Intercessory|応接室
Battle In The Big Keep|真ギルガメッシュ討滅戦
Coerthas Western Highlands|クルザス西部高地
The Dravanian Forelands|高地ドラヴァニア
The Dravanian Hinterlands|低地ドラヴァニア
The Churning Mists|ドラヴァニア雲海
The Sea Of Clouds|アバラシア雲海
Azys Lla|魔大陸アジス・ラー
Return Of The Bull|メインクエスト『英雄の帰還』
The Great Gubal Library|禁書回収 グブラ幻想図書館
Chocobo Race: Tutorial|チョコボレース：チュートリアル
Foundation|イシュガルド：下層
The Pillars|イシュガルド：上層
Neverreap|神域浮島 ネバーリープ
The Vault|強硬突入 イシュガルド教皇庁
The Borderland Ruins (Slaughter)|外縁遺跡群 (殲滅戦)
Company Workshop - Mist|ミスト・ヴィレッジ：地下工房
Company Workshop - The Goblet|ゴブレットビュート：地下工房
Company Workshop - The Lavender Beds|ラベンダーベッド：地下工房
The Chrysalis|アシエン・ナプリアレス討伐戦
Saint Endalim's Scholasticate|聖アンダリム神学院
Seat Of The Lord Commander|神殿騎士団総長室
Cloud Nine|旅籠「九つの雲」
The Fractal Continuum|博物戦艦 フラクタル・コンティニアム
Seal Rock (Seize)|シールロック (争奪戦)
Thok Ast Thok (Hard)|真ラーヴァナ討滅戦
Fortemps Manor|フォルタン家
The Dusk Vigil|廃砦捜索 ダスクヴィジル
The Aery|邪龍血戦 ドラゴンズエアリー
The Limitless Blue (Hard)|真ビスマルク討滅戦
The Singularity Reactor|ナイツ・オブ・ラウンド討滅戦
The Aetherochemical Research Facility|蒼天聖戦 魔科学研究所
The Lightfeather Proving Grounds|ライトフェザー闘技場
Ruling Chamber|決闘裁判場
Sohm Al|霊峰踏破 ソール・アル
Alexander - The Fist Of The Father|機工城アレキサンダー：起動編1
Alexander - The Cuff Of The Father|機工城アレキサンダー：起動編2
Alexander - The Arm Of The Father|機工城アレキサンダー：起動編3
Alexander - The Burden Of The Father|機工城アレキサンダー：起動編4
Thok Ast Thok (Extreme)|極ラーヴァナ討滅戦
The Limitless Blue (Extreme)|極ビスマルク討滅戦
The Minstrel's Ballad: Thordan's Reign|蒼天幻想 ナイツ・オブ・ラウンド討滅戦
Alexander - The Fist Of The Father (Savage)|機工城アレキサンダー零式：起動編1
Alexander - The Cuff Of The Father (Savage)|機工城アレキサンダー零式：起動編2
Alexander - The Arm Of The Father (Savage)|機工城アレキサンダー零式：起動編3
Alexander - The Burden Of The Father (Savage)|機工城アレキサンダー零式：起動編4
Sacrificial Chamber|供物穴
Matoya's Cave|マトーヤの洞窟
Idyllshire|イディルシャイア
The Eighteenth Floor|かいはつしつ
Alexander|機工城アレキサンダー
Lovm: Master Battle|ロード・オブ・ヴァーミニオン
Central Azys Lla|魔大陸中枢
The Void Ark|魔航船ヴォイドアーク
Special Event III|イベント用コンテンツ：3
Pharos Sirius (Hard)|制圧巨塔 シリウス大灯台 (Hard)
Saint Mocianne's Arboretum|草木庭園 聖モシャーヌ植物園
The Diadem|雲海採集 ディアデム諸島
The Antitower|星海観測 逆さの塔
Containment Bay (S1T7)|魔神セフィロト討滅戦
The Lost City Of Amdapor (Hard)|神聖遺跡 古アムダプール市街 (Hard)
Alexander - The Fist Of The Son|機工城アレキサンダー：律動編1
Alexander - The Cuff Of The Son|機工城アレキサンダー：律動編2
Alexander - The Arm Of The Son|機工城アレキサンダー：律動編3
Alexander - The Burden Of The Son|機工城アレキサンダー：律動編4
Containment Bay S1T7 (Extreme)|極魔神セフィロト討滅戦
Alexander - The Fist Of The Son (Savage)|機工城アレキサンダー零式：律動編1
Alexander - The Cuff Of The Son (Savage)|機工城アレキサンダー零式：律動編2
Alexander - The Arm Of The Son (Savage)|機工城アレキサンダー零式：律動編3
Alexander - The Burden Of The Son (Savage)|機工城アレキサンダー零式：律動編4
A Spectacle For The Ages|メインクエスト『四国合同演習』
Twin Adder Barracks|双蛇党兵舎
Flame Barracks|不滅隊兵舎
Maelstrom Barracks|黒渦団兵舎
Avoid Area Of Effect Attacks|初心者の館『範囲攻撃を避けよう！』
Execute A Combo To Increase Enmity|初心者の館『コンボで敵視を集めよう！』
Execute A Combo In Battle|初心者の館『実戦でコンボに挑戦しよう！』
Accrue Enmity From Multiple Targets|初心者の館『複数の敵から敵視を集めよう！』
Engage Multiple Targets|初心者の館『実戦で複数の敵と戦ってみよう！』
Execute A Ranged Attack To Increase Enmity|初心者の館『遠距離から敵視を集めよう！』
Engage Enemy Reinforcements|初心者の館『敵の増援に対応しよう！』
Assist Allies In Defeating A Target|初心者の館『味方と協力して敵を倒そう！』
Defeat An Occupied Target|初心者の館『味方が引きつけている敵を倒そう！』
Avoid Engaged Targets|初心者の館『敵の攻撃を避けながら戦おう！』
Interact With The Battlefield|初心者の館『ギミックを活用して戦おう！』
Heal An Ally|初心者の館『味方を回復しよう！』
Heal Multiple Allies|初心者の館『複数の味方を回復しよう！』
Final Exercise|初心者の館『最終訓練！』
The Fields Of Glory (Shatter)|フィールド・オブ・グローリー (砕氷戦)
Sohr Khai|天竜宮殿 ソール・カイ
The Weeping City Of Mhach|禁忌都市マハ
Hullbreaker Isle (Hard)|黒渦伝説 ハルブレーカー・アイル (Hard)
The Aquapolis|宝物庫 アクアポリス
The Final Steps Of Faith|ニーズヘッグ征竜戦
A Bloody Reunion|クロニクルクエスト『レグラ・ヴァン・ヒュドルス追撃戦』
The Palace Of The Dead (Floors 1-10)|死者の宮殿 (B1～B10F)
The Palace Of The Dead (Floors 11-20)|死者の宮殿 (B11～B20F)
The Palace Of The Dead (Floors 21-30)|死者の宮殿 (B21～B30F)
The Palace Of The Dead (Floors 31-40)|死者の宮殿 (B31～B40F)
The Palace Of The Dead (Floors 41-50)|死者の宮殿 (B41～B50F)
The Minstrel's Ballad: Nidhogg's Rage|極ニーズヘッグ征竜戦
The Parrock|パロック繋留基地
Leofard's Chambers|レオファードの私室
Steps Of Faith|雲廊
The Palace Of The Dead|死者の宮殿
The Haunted Manor|亡霊屋敷 ホーンテッドマナー
Xelphatol|峻厳渓谷 ゼルファトル
Topmast Apartment Lobby|トップマスト：ロビー
Lily Hills Apartment Lobby|リリーヒルズ：ロビー
Sultana's Breath Apartment Lobby|ナナモ大風車：ロビー
Containment Bay (P1T6)|女神ソフィア討滅戦
Containment Bay P1T6 (Extreme)|極女神ソフィア討滅戦
The Great Gubal Library (Hard)|稀書回収 グブラ幻想図書館 (Hard)
The Triple Triad Battlehall|トリプルトライアド：カードバトルルーム
Alexander - The Eyes Of The Creator|機工城アレキサンダー：天動編1
Alexander - The Breath Of The Creator|機工城アレキサンダー：天動編2
Alexander - The Heart Of The Creator|機工城アレキサンダー：天動編3
Alexander - The Soul Of The Creator|機工城アレキサンダー：天動編4
Alexander - The Eyes Of The Creator (Savage)|機工城アレキサンダー零式：天動編1
Alexander - The Breath Of The Creator (Savage)|機工城アレキサンダー零式：天動編2
Alexander - The Heart Of The Creator (Savage)|機工城アレキサンダー零式：天動編3
Alexander - The Soul Of The Creator (Savage)|機工城アレキサンダー零式：天動編4
Heart Of The Creator|ハート・オブ・アレキサンダー
Lovm: Player Battle (Rp)|LoVM：プレイヤー対戦 (RP変動あり)
Lovm: Tournament|LoVM：大会対戦
Lovm: Player Battle (Non-rp)|LoVM：プレイヤー対戦 (RP変動なし)
One Life For One World|メインクエスト『絡み合う宿命』
The Palace Of The Dead (Floors 51-60)|死者の宮殿 (B51～B60F)
The Palace Of The Dead (Floors 61-70)|死者の宮殿 (B61～B70F)
The Palace Of The Dead (Floors 71-80)|死者の宮殿 (B71～B80F)
The Palace Of The Dead (Floors 81-90)|死者の宮殿 (B81～B90F)
The Palace Of The Dead (Floors 91-100)|死者の宮殿 (B91～B100F)
The Palace Of The Dead (Floors 101-110)|死者の宮殿 (B101～B110F)
The Palace Of The Dead (Floors 111-120)|死者の宮殿 (B111～B120F)
The Palace Of The Dead (Floors 121-130)|死者の宮殿 (B121～B130F)
The Palace Of The Dead (Floors 131-140)|死者の宮殿 (B131～B140F)
The Palace Of The Dead (Floors 141-150)|死者の宮殿 (B141～B150F)
The Palace Of The Dead (Floors 151-160)|死者の宮殿 (B151～B160F)
The Palace Of The Dead (Floors 161-170)|死者の宮殿 (B161～B170F)
The Palace Of The Dead (Floors 171-180)|死者の宮殿 (B171～B180F)
The Palace Of The Dead (Floors 181-190)|死者の宮殿 (B181～B190F)
The Palace Of The Dead (Floors 191-200)|死者の宮殿 (B191～B200F)
Topmast Apartment|トップマスト：部屋
Lily Hills Apartment|リリーヒルズ：部屋
Sultana's Breath Apartment|ナナモ大風車：部屋
Frondale's Ward For Friendless Foundlings|フロンデール薬学院小児病棟
The Fringes|ギラバニア辺境地帯
The Ruby Sea|紅玉海
Yanxia|ヤンサ
Baelsar's Wall|巨大防壁 バエサルの長城
Shisui Of The Violet Tides|海底宮殿 紫水宮
Sohm Al (Hard)|霊峰浄化 ソーム・アル (Hard)
The Feast (Custom Match - Feasting Grounds)|ザ・フィースト (ウルヴズジェイル演習場：カスタムマッチ）
The Peaks|ギラバニア山岳地帯
The Lochs|ギラバニア湖畔地帯
The Azim Steppe|アジムステップ
Bardam's Mettle|伝統試練 バルダム覇道
The Diadem Hunting Grounds (Easy)|雲海探索 ディアデム諸島：狩猟限定 (Easy)
The Diadem Hunting Grounds|雲海探索 ディアデム諸島：狩猟限定
The Sirensong Sea|漂流海域 セイレーン海
Dun Scaith|影の国ダン・スカー
Kugane|クガネ
Bokairo Inn|温泉宿「望海楼」
The Carteneau Flats: Heliodrome|メインクエスト『オメガ起動』
Rhalgr's Reach|ラールガーズリーチ
Omega Control|オメガ管制室
Containment Bay (Z1T9)|鬼神ズルワーン討滅戦
Containment Bay Z1T9 (Extreme)|鬼神ズルワーン討滅戦
Ruby Bazaar Offices|ウルダハ商館応接室
Shirogane|シロガネ
The Feast (Custom Match - Lichenweed)|ザ・フィースト (ライケンウィード演習場：カスタムマッチ)
Private Cottage - Shirogane|シロガネ：コテージ
Private House - Shirogane|シロガネ：ハウス
Private Mansion - Shirogane|シロガネ：レジデンス
Private Chambers - Shirogane|シロガネ：プライベートルーム
Company Workshop - Shirogane|シロガネ：地下工房
Kobai Goten Apartment Lobby|紅梅御殿：ロビー
Kobai Goten Apartment|紅梅御殿：部屋
The Diadem - Trials Of The Fury|雲海探索 ディアデム諸島 (狩猟)
Doma Castle|解放決戦 ドマ城
Castrum Abania|巨砲要塞 カストルム・アバニア
Kugane Castle|悪党成敗 クガネ城
The Temple Of The Fist|壊神修行 星導山寺院
It's Probably A Trap|メインクエスト『ギョドウ現る！』
The Pool Of Tribute|スサノオ討滅戦
The Pool Of Tribute (Extreme)|極スサノオ討滅戦
The Royal Menagerie|神龍討滅戦
The Misery|海賊船ミゼリー号
The House Of The Fierce|烈士庵
The Doman Enclave|ドマ町人地
The First Altar Of Djanan Qhat|ジャナン・カット地下祭壇
The Resonant|メインクエスト『ウリエンジェの秘策』
Naadam|メインクエスト『終節の合戦』
Ala Mhigo|紅蓮決戦 アラミゴ
Interdimensional Rift|クロニクルクエスト『オメガの消息』
Deltascape (V1.0)|次元の狭間オメガ：デルタ編1
Deltascape (V2.0)|次元の狭間オメガ：デルタ編2
Deltascape (V3.0)|次元の狭間オメガ：デルタ編3
Deltascape (V4.0)|次元の狭間オメガ：デルタ編4
Deltascape V1.0 (Savage)|次元の狭間オメガ零式：デルタ編1
Deltascape V2.0 (Savage)|次元の狭間オメガ零式：デルタ編2
Deltascape V3.0 (Savage)|次元の狭間オメガ零式：デルタ編3
Deltascape V4.0 (Savage)|次元の狭間オメガ零式：デルタ編4
In Thal's Name|ナイトクエスト『ウル王杯闘技会の始まり』
Raising The Sword|ナイトクエスト『さらなる剣術の高みへ』
With Heart And Steel|赤魔道士クエスト『抗う力』
Blood On The Deck|侍クエスト『海都を震わす人斬りの宴！』
The Face Of True Evil|侍クエスト『極悪人コガラシ』
Matsuba Mayhem|侍クエスト『松葉門外の変』
The Battle On Bekko|侍クエスト『ベッコウ島の決闘』
The Lost Canals Of Uznair|宝物庫 ウズネアカナル
Darkwing Dragon|竜騎士クエスト『漆黒の巨竜』
Blood Dragoon|竜騎士クエスト『紅の竜騎士』
The Orphans And The Broken Blade|暗黒騎士クエスト『あと三度、遥かな憧憬』
Our Compromise|暗黒騎士クエスト『あと一度、君に会えたら』
Curious Gorge Meets His Match|戦士クエスト『原初的な彼女』
The Heart Of The Problem|戦士クエスト『燃えよゴージ！』
Emanation|ラクシュミ討滅戦
Emanation (Extreme)|極ラクシュミ討滅戦
Our Unsung Heroes|学者クエスト『時をかける願い』
When Clans Collide|忍者クエスト『影隠忍法帖』
The Interdimensional Rift|次元の狭間
The Hidden Canals Of Uznair|宝物庫 ウズネアカナル深層
Astragalos|アストラガロス (機工戦)
The Minstrel's Ballad: Shinryu's Domain|極神龍討滅戦
The Drowned City Of Skalla|水没遺構 スカラ
The Forbidden Land, Eureka Anemos|禁断の地エウレカ：アネモス編
The Unending Coil Of Bahamut (Ultimate)|絶バハムート討滅戦
The Royal City Of Rabanastre|失われた都 ラバナスタ
The Prima Vista Tiring Room|劇場艇プリマビスタ・大道具部屋
The Prima Vista Bridge|劇場艇プリマビスタ・ブリッジ
Royal Palace|アラミゴ王宮
The Resonatorium|超越技術研究所
The Valentione's Ceremony|ヴァレンティオンセレモニー
Hells' Lid|紅玉火山 獄之蓋
The Fractal Continuum (Hard)|暴走戦艦 フラクタル・コンティニアム (Hard)
Kienkan|帰燕館
The Feast (Team Ranked)|ザ・フィースト(チーム用ランクマッチ)
The Jade Stoa|白虎征魂戦
Sigmascape (V1.0)|次元の狭間オメガ：シグマ編1
Sigmascape (V2.0)|次元の狭間オメガ：シグマ編2
Sigmascape (V3.0)|次元の狭間オメガ：シグマ編3
Sigmascape (V4.0)|次元の狭間オメガ：シグマ編4
Sigmascape V1.0 (Savage)|次元の狭間オメガ零式：シグマ編1
Sigmascape V2.0 (Savage)|次元の狭間オメガ零式：シグマ編2
Sigmascape V3.0 (Savage)|次元の狭間オメガ零式：シグマ編3
Sigmascape V4.0 (Savage)|次元の狭間オメガ零式：シグマ編4
The Jade Stoa (Extreme)|極白虎征魂戦
The Great Hunt|リオレウス狩猟戦
The Great Hunt (Extreme)|極リオレウス狩猟戦
The Forbidden Land, Eureka Pagos|禁断の地エウレカ：パゴス編
Reisen Temple|醴泉神社境内
The Feast (Ranked)|ザ・フィースト(ランクマッチ)
The Feast (Training)|ザ・フィースト(カジュアルマッチ)
The Feast (Custom Match - Crystal Tower)|ザ・フィースト(クリスタルタワー演習場：カスタムマッチ
The Swallow's Compass|風水霊殿 ガンエン廟
Emissary Of The Dawn|メインクエスト『「暁」の少年』
Heaven-on-high  (Floors 1-10)|アメノミハシラ (1～10層)
Heaven-on-high  (Floors 11-20)|アメノミハシラ (11～20層)
Heaven-on-high  (Floors 21-30)|アメノミハシラ (21～30層)
Heaven-on-high  (Floors 41-50)|アメノミハシラ (41～50層)
Heaven-on-high  (Floors 61-70)|アメノミハシラ (61～70層)
Heaven-on-high  (Floors 81-90)|アメノミハシラ (81～90層)
The Ridorana Lighthouse|封じられた聖塔 リドルアナ
The Weapon's Refrain (Ultimate)|絶アルテマウェポン破壊作戦
Castrum Fluminis|ツクヨミ討滅戦
The Minstrel's Ballad: Tsukuyomi's Pain|極ツクヨミ討滅戦
Heaven-on-high|アメノミハシラ
Heaven-on-high  (Floors 31-40)|アメノミハシラ (31～40層)
Heaven-on-high  (Floors 51-60)|アメノミハシラ (51～60層)
Heaven-on-high  (Floors 71-80)|アメノミハシラ (71～80層)
Heaven-on-high  (Floors 91-100)|アメノミハシラ (91～100層)
The Ridorana Cataract|リドルアナ大瀑布
Saint Mocianne's Arboretum (Hard)|草木汚染 聖モシャーヌ植物園 (Hard)
The Burn|永久焦土 ザ・バーン
The Calamity Retold|新生祭軍事演習
Hidden Gorge|ヒドゥンゴージ (機工戦)
Leap Of Faith|G.A.T.E.「挑戦！ ジャンピングアスレチック (ベラフディア遺跡風)」
The Ghimlyt Dark|境界戦線 ギムリトダーク
The Shifting Altars Of Uznair|宝物庫 ウズネアカナル祭殿
The Forbidden Land, Eureka Pyros|禁断の地エウレカ：ピューロス編
All's Well That Starts Well|マスクカーニバル
The Will Of The Moon|メインクエスト『楔石の虚』
Alphascape (V1.0)|次元の狭間オメガ：アルファ編1
Alphascape (V2.0)|次元の狭間オメガ：アルファ編2
Alphascape (V3.0)|次元の狭間オメガ：アルファ編3
Alphascape (V4.0)|次元の狭間オメガ：アルファ編4
Alphascape V1.0 (Savage)|次元の狭間オメガ零式：アルファ編1
Alphascape V2.0 (Savage)|次元の狭間オメガ零式：アルファ編2
Alphascape V3.0 (Savage)|次元の狭間オメガ零式：アルファ編3
Alphascape V4.0 (Savage)|次元の狭間オメガ零式：アルファ編4
Kugane Ohashi|真ヨウジンボウ討滅戦
Haunted Manor|亡霊屋敷 ホーンテッドマナー
Hells' Kier|朱雀征魂戦
Hells' Kier (Extreme)|極朱雀征魂戦
The Wreath Of Snakes|青龍征魂戦
The Wreath Of Snakes (Extreme)|極青龍征魂戦
The Orbonne Monastery|楽欲の僧院 オーボンヌ
The Forbidden Land, Eureka Hydatos|禁断の地エウレカ：ヒュダトス編
Eorzean Alliance Headquarters|エオルゼア同盟軍本陣
A Requiem For Heroes|メインクエスト『英雄への鎮魂歌』
Mahjong|魔導雀荘「マンダヴィル」
Air Force One|G.A.T.E.「出撃！ エアフォースパイロット」
Messenger Of The Winds|来訪者クエスト『来訪せし風の御使』
Lakeland|レイクランド
Kholusia|コルシア島
Amh Araeng|アム・アレーン
Il Mheg|イル・メグ
The Rak'tika Greatwood|ラケティカ大森林
The Tempest|テンペスト
The Crystarium|クリスタリウム
Eulmore|ユールモア
Dohn Mheg|水妖幻園 ドォーヌ・メグ
Mt. Gulg|偽造天界 グルグ火山
The Qitana Ravel|古跡探索 キタンナ神影洞
Malikah's Well|爽涼離宮 マリカの大井戸
Holminster Switch|殺戮郷村 ホルミンスター
Amaurot|終末幻想 アーモロート
The Twinning|異界遺構 シルクス・ツイニング
Akadaemia Anyder|創造機関 アナイダアカデミア
The Syrcus Trench|シルクスの峡間
The Pendants Personal Suite|ペンダント居住館：居室
The Ocular|星見の間
The Dancing Plague|ティターニア討滅戦
The Crown Of The Immaculate|イノセンス討滅戦
The Dying Gasp|ハーデス討滅戦
The Crown Of The Immaculate (Extreme)|極イノセンス討滅戦
The Dancing Plague (Extreme)|極ティターニア討滅戦
Legend Of The Not-so-hidden Temple|メインクエスト『仕掛けと呪いと毒と』
Coming Clean|メインクエスト『廃都ナバスアレン』
The Hardened Heart|タンククエスト『揺れる天秤』
The Lost And The Found|ヒーラークエスト『古の大再生魔法』
The Hunter's Legacy|ファイタークエスト『勇気の狩人』
Nyelbert's Lament|ソーサラークエスト『ナイルベルトの後悔』
Eden's Gate: Resurrection|希望の園エデン：覚醒編1
Eden's Gate: Descent|希望の園エデン：覚醒編2
Eden's Gate: Inundation|希望の園エデン：覚醒編3
Eden's Gate: Sepulture|希望の園エデン：覚醒編4
